Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-11-22,1305.0,640.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-11-23,3011.0,672.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-11-24,4335.0,699.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-11-25,3011.0,712.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-11-26,4176.0,738.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-11-27,18031.0,760.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-11-28,11929.0,784.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-11-29,9513.0,791.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-11-30,10308.0,801.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-01,12116.0,812.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-02,12015.0,819.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-03,16530.0,831.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-04,19680.0,842.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-05,20240.0,849.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-06,14019.0,887.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-07,23341.0,888.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-08,27488.0,893.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-09,24024.0,898.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-10,21470.0,905.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-11,20633.0,906.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-12,17529.0,907.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-13,14987.0,912.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-14,8574.0,917.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-15,10949.0,918.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-16,12711.0,923.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-17,10559.0,941.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-18,9070.0,953.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-19,11191.0,961.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-20,8416.0,993.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-21,5961.0,1006.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-22,12357.0,1063.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-23,4134.0,1069.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-24,11800.0,1075.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-25,8863.0,1082.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-26,14227.0,1121.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-27,14646.0,1137.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-28,8894.0,1175.0,527.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-29,14035.0,1195.0,1.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-30,5520.0,1215.0,1.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-12-31,5520.0,1220.0,1.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-01,17764.0,1242.0,1.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-02,11152.0,1263.0,1.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-03,5807.0,1286.0,1.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-04,13621.0,1308.0,1.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-05,11581.0,1308.0,1.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-06,16377.0,1308.0,1.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-07,12200.0,1395.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-08,14225.0,1408.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-09,13773.0,1429.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-10,22993.0,1442.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-11,14216.0,1456.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-12,15849.0,1469.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-13,16975.0,1479.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-14,15899.0,1491.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-15,16854.0,1512.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-16,18487.0,1517.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-17,15342.0,1526.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-18,9115.0,1536.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-19,17646.0,1568.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-20,13318.0,1584.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-21,12940.0,1592.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-22,5520.0,1611.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-23,5520.0,1627.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-24,12848.0,1643.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-25,7065.0,1656.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-26,12039.0,1667.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-27,12703.0,1692.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-28,15202.0,1710.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-29,12885.0,1742.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-30,14495.0,1779.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-01-31,11202.0,1814.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-01,5433.0,1832.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-02,9415.0,1859.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-03,15897.0,1890.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-04,16960.0,1928.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-05,14283.0,1989.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-06,20853.0,2023.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-07,14978.0,2073.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-08,12252.0,2120.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-09,18871.0,2174.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-10,25245.0,2207.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-11,57833.0,2247.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-12,30468.0,2293.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-13,30287.0,2351.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-14,38450.0,2383.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-15,28851.0,2416.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-16,37530.0,2444.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-17,38409.0,2493.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-18,40217.0,2551.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-19,47110.0,2586.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-20,43667.0,2638.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-21,44018.0,2693.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-22,36903.0,2723.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-23,42920.0,2755.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-24,26058.0,2801.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-25,16777.0,2831.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-26,5520.0,2866.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-27,5520.0,2907.0,2.0
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2021-02-28,5520.0,2952.0,2.0
