Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-21,5520.0,1.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-22,5520.0,1.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-23,5520.0,9.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-24,5520.0,9.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-25,5520.0,14.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-26,5520.0,14.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-27,5520.0,23.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-28,5520.0,30.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-29,5520.0,33.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-30,5520.0,33.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-03-31,5520.0,44.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-01,23.0,44.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-02,5520.0,45.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-03,5520.0,48.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-04,5520.0,48.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-05,5520.0,52.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-06,231.0,52.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-07,150.0,52.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-08,214.0,53.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-09,338.0,53.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-10,439.0,53.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-11,5520.0,53.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-12,169.0,54.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-13,639.0,54.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-14,625.0,55.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-15,5520.0,55.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-16,5520.0,55.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-17,5520.0,56.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-18,5520.0,55.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-19,5520.0,55.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-20,5520.0,56.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-21,5520.0,61.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-22,5520.0,63.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-23,5520.0,74.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-24,5520.0,75.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-25,5520.0,75.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-26,5520.0,79.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-27,5520.0,79.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-28,5520.0,79.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-29,5520.0,81.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-04-30,5520.0,83.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-01,5520.0,85.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-02,5520.0,88.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-03,5520.0,89.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-04,5520.0,97.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-05,5520.0,98.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-06,5520.0,100.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-07,5520.0,101.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-08,5520.0,101.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-09,5520.0,116.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-10,5520.0,121.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-11,5520.0,121.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-12,5520.0,129.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-13,5520.0,139.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-14,5520.0,160.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-15,5520.0,203.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-16,5520.0,227.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-17,5520.0,227.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-18,5520.0,248.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-19,5520.0,260.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-20,5520.0,264.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-21,5520.0,160.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-22,5520.0,175.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-23,5520.0,198.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-24,5520.0,198.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-25,5520.0,222.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-26,5520.0,253.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-27,5520.0,281.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-28,5520.0,317.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-29,5520.0,329.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-30,5520.0,413.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-05-31,5520.0,417.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-01,5520.0,457.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-02,5520.0,489.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-03,5520.0,507.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-04,5520.0,522.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-05,5520.0,557.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-06,5520.0,593.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-07,5520.0,616.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-08,5520.0,646.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-09,5520.0,657.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-10,5520.0,665.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-11,5520.0,679.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-12,5520.0,686.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-13,5520.0,694.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-14,5520.0,696.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-15,5520.0,705.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-16,5520.0,724.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-17,5520.0,732.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-18,5520.0,741.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-19,5520.0,755.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-20,5520.0,763.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-21,5520.0,770.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-22,5520.0,774.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-23,5520.0,797.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-24,5520.0,805.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-25,5520.0,821.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-26,5520.0,833.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-27,5520.0,848.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-28,5520.0,859.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-29,5520.0,870.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-06-30,2059.0,889.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-07-01,5520.0,893.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-07-02,3349.0,902.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-07-03,5520.0,911.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-07-04,5520.0,927.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-07-05,3103.0,939.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-07-06,2414.0,953.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-07-07,3451.0,971.0,527.0
Uganda,Africa,1.37,32.29,24,0.5,0.09,794.3,42862958,16,2,2020-07-08,3316.0,977.0,527.0
